NAME,KBS_NEWS,TVCHOSUN,CJENM,EBS,MNET,SPOTV,MBC_ENT,CLASS
슈퍼주니어,29,29,54,40,55,59,58,연예인
러블리즈,30,30,27,47,30,3,59,연예인
더보이즈,30,30,58,60,56,30,59,연예인
김준호,30,30,30,30,12,15,60,연예인
전소미,30,30,30,30,59,7,55,연예인
강호동,30,30,30,54,51,30,57,연예인
비투비,29,29,29,58,58,9,59,연예인
서현진,29,29,29,25,54,4,54,연예인
박서준,30,30,30,35,58,11,30,연예인
정동원,30,30,29,30,58,3,59,연예인
손예진,30,30,30,30,58,9,59,연예인
아스트로,29,29,26,26,54,4,57,연예인
이지아,30,30,30,30,33,3,46,연예인
장윤정,30,30,30,30,58,1,59,연예인
몬스타엑스,30,30,30,25,58,1,60,연예인
SG워너비,30,30,30,29,60,3,59,연예인
유연석,30,30,30,26,29,4,58,연예인
송지효,30,30,30,25,58,5,60,연예인
안정환,30,30,26,58,21,59,58,운동선수
박명수,30,30,30,60,57,6,59,연예인
정경호,30,30,29,30,54,3,30,연예인
에이프릴,29,29,29,56,58,2,5,연예인
김희재,30,30,28,21,55,1,29,연예인
ITZY,30,30,30,20,58,8,60,연예인
빅마마,30,30,28,29,60,3,59,연예인
김구라,30,30,25,30,60,30,59,연예인
백지영,30,30,30,30,59,1,58,연예인
이무진,30,30,29,30,30,1,59,연예인
송가인,30,30,30,57,30,3,55,연예인
김희철,30,30,30,44,30,2,57,연예인
서장훈,57,28,26,30,30,60,60,운동선수
박주미,30,30,11,16,3,1,4,연예인
허재,30,30,24,45,6,54,59,운동선수
이제훈,30,30,30,60,30,1,57,연예인
전미도,30,30,30,33,6,2,23,연예인
라붐,30,30,29,11,57,2,55,연예인
서인국,30,30,30,38,30,2,30,연예인
SF9,29,29,29,6,58,1,34,연예인
이승윤,30,30,29,59,27,1,60,연예인
유희열,30,30,30,59,30,16,58,연예인
홍진영,53,30,30,55,60,4,37,연예인
드림캐쳐,30,30,25,4,60,2,3,연예인
나훈아,30,30,27,59,29,2,15,연예인
투모로우바이투게더,30,17,29,8,30,1,18,연예인
김대명,30,17,29,2,5,1,11,연예인
이하나,30,30,30,56,27,16,60,연예인
조세호,30,30,30,55,56,9,60,연예인
윤여정,30,30,28,56,30,1,60,연예인
탁재훈,30,30,30,40,30,9,30,연예인
이동휘,30,34,30,6,21,2,30,연예인
악동뮤지션,29,29,29,29,55,1,57,연예인
문채원,30,30,29,16,9,1,7,연예인
엄기준,30,30,59,17,8,1,29,연예인
지석진,30,30,30,37,30,4,59,연예인
김국진,53,30,30,50,8,11,59,연예인
박효신,58,30,30,58,56,8,60,연예인
임창정,58,30,30,60,30,7,59,연예인
남진,30,30,30,59,30,1,22,연예인
장범준,58,29,28,43,29,10,41,연예인
최백호,30,30,30,59,41,7,5,연예인
이정후,54,17,30,10,1,30,34,운동선수
김민재,55,30,30,47,31,57,59,운동선수
이강인,54,29,28,46,9,56,60,운동선수
페이커,59,28,29,51,14,34,55,운동선수
황희찬,30,30,30,2,7,60,60,운동선수
김하성,53,21,30,8,4,59,8,운동선수
김연아,59,30,30,55,30,30,51,운동선수
박지성,30,30,30,60,45,29,59,운동선수
차범근,30,30,30,44,6,30,11,운동선수
박찬호,60,30,30,30,33,58,30,운동선수
박세리,57,30,30,30,30,12,60,운동선수
추신수,59,30,30,13,6,30,43,운동선수
이대호,58,30,28,38,4,57,59,운동선수
김아랑,60,16,30,4,18,5,60,운동선수
박태환,30,30,30,30,57,30,60,운동선수
이영표,59,30,30,34,6,59,58,운동선수
손연재,60,30,30,59,30,16,57,운동선수
이천수,58,30,30,27,1,57,59,운동선수
양준혁,59,30,29,57,4,22,15,운동선수
박승희,57,21,29,11,4,2,8,운동선수
설기현,59,30,30,11,3,34,6,운동선수
이동국,30,30,28,54,4,56,25,운동선수
하승진,59,30,30,4,16,54,60,운동선수
홍명보,56,30,29,19,8,58,18,운동선수
황선홍,30,30,30,15,2,29,45,운동선수
김우진,58,16,30,13,22,14,46,운동선수
황영조,59,13,1,6,1,4,32,운동선수
장정구,39,30,1,1,1,1,1,운동선수
심권호,60,30,8,36,1,5,2,운동선수
박주봉,25,1,3,1,1,1,1,운동선수
박항서,60,30,30,23,1,29,56,운동선수
이명박,57,30,16,52,2,1,4,정치인
반기문,60,59,5,59,1,1,2,정치인
배용준,54,30,30,21,20,1,10,연예인
이영애,60,30,30,52,14,1,11,연예인
김희선,58,30,30,59,20,5,60,연예인
문재인,56,30,30,30,16,1,11,정치인
나경원,55,30,24,44,1,1,5,정치인
김종인,59,30,30,19,5,1,16,정치인
안철수,58,30,30,55,3,3,5,정치인
김무성,60,30,3,36,1,6,1,정치인
이재오,60,30,6,4,1,1,1,정치인
원희룡,49,30,6,20,1,1,8,정치인
정봉주,59,30,2,12,1,1,2,정치인
심상정,58,30,10,29,1,1,1,정치인
이회창,57,30,2,4,1,1,1,정치인
김근태,55,30,1,4,1,1,2,정치인
손학규,60,30,2,6,1,1,1,정치인
노회찬,60,30,1,30,1,1,2,정치인
홍준표,58,30,26,59,1,1,5,정치인
이해찬,60,30,21,25,31,1,2,정치인
정동영,58,30,7,12,1,1,2,정치인
박근혜,58,30,30,58,9,4,14,정치인
박영선,59,30,5,33,1,1,1,정치인
유시민,58,30,30,52,1,2,35,정치인
이준석,30,30,30,60,1,11,30,정치인
천하람,60,30,23,28,1,1,2,정치인
이재명,30,30,30,55,5,12,56,정치인
한동훈,52,30,30,54,1,9,9,정치인
윤석열,57,30,30,58,10,37,59,정치인
조국,52,30,30,30,4,57,21,정치인
황교안,56,30,8,35,1,1,1,정치인
추미애,58,30,10,30,1,1,3,정치인
정청래,57,30,4,17,2,1,1,정치인
